,index,threads,nrhs,time1,time2
0,0,1.0,1.0,537307.0,31337.0
1,1,1.0,2.0,545003.0,38783.0
2,2,1.0,4.0,530655.0,52832.0
3,3,1.0,8.0,532839.0,85030.0
4,4,1.0,16.0,532704.0,146449.0
5,5,1.0,32.0,530708.0,280093.0
6,6,1.0,64.0,539955.0,568106.0
7,7,1.0,128.0,526562.0,1065680.0
8,8,2.0,1.0,580701.0,32309.0
9,9,2.0,2.0,574856.0,41246.0
10,10,2.0,4.0,586526.0,54320.0
11,11,2.0,8.0,584774.0,89243.0
12,12,2.0,16.0,581037.0,153526.0
13,13,2.0,32.0,574073.0,287862.0
14,14,2.0,64.0,578776.0,573042.0
15,15,2.0,128.0,567464.0,1138750.0
16,16,4.0,1.0,707113.0,33681.0
17,17,4.0,2.0,709819.0,42721.0
18,18,4.0,4.0,699458.0,56105.0
19,19,4.0,8.0,703550.0,92058.0
20,20,4.0,16.0,713472.0,157575.0
21,21,4.0,32.0,703905.0,297500.0
22,22,4.0,64.0,708248.0,574849.0
23,23,4.0,128.0,697317.0,1140900.0
24,24,8.0,1.0,855677.0,39757.0
25,25,8.0,2.0,845382.0,50335.0
26,26,8.0,4.0,844308.0,67532.0
27,27,8.0,8.0,841009.0,108209.0
28,28,8.0,16.0,832414.0,185670.0
29,29,8.0,32.0,840134.0,363146.0
30,30,8.0,64.0,858893.0,700069.0
31,31,8.0,128.0,850484.0,2021910.0
32,32,16.0,1.0,1124460.0,43827.0
33,33,16.0,2.0,1158580.0,55219.0
34,34,16.0,4.0,1108090.0,77378.0
35,35,16.0,8.0,1102610.0,120464.0
36,36,16.0,16.0,1075860.0,218421.0
37,37,16.0,32.0,1088690.0,431594.0
38,38,16.0,64.0,1052500.0,1025150.0
39,39,16.0,128.0,1046770.0,2072650.0
40,40,32.0,1.0,1815790.0,63517.0
41,41,32.0,2.0,1784010.0,83739.0
42,42,32.0,4.0,1766390.0,119866.0
43,43,32.0,8.0,1804190.0,199526.0
44,44,32.0,16.0,1745120.0,371212.0
45,45,32.0,32.0,1841560.0,695434.0
46,46,32.0,64.0,1796940.0,1581040.0
47,47,32.0,128.0,1813960.0,2915760.0
48,48,48.0,1.0,1847950.0,90963.0
49,49,48.0,2.0,1864720.0,119135.0
50,50,48.0,4.0,1851680.0,152595.0
51,51,48.0,8.0,1890650.0,260456.0
52,52,48.0,16.0,1918650.0,464646.0
53,53,48.0,32.0,1905780.0,896295.0
54,54,48.0,64.0,1863930.0,1815260.0
55,55,48.0,128.0,1902410.0,4002840.0
56,56,60.0,1.0,2026720.0,85761.0
57,57,60.0,2.0,2033220.0,134365.0
58,58,60.0,4.0,1994870.0,170067.0
59,59,60.0,8.0,2090130.0,301389.0
60,60,60.0,16.0,2112710.0,549204.0
61,61,60.0,32.0,2115290.0,1057260.0
62,62,60.0,64.0,2091060.0,2091320.0
63,63,60.0,128.0,2192520.0,4487250.0
