,index,threads,nrhs,time1
0,0,1.0,1.0,11987.3
1,1,1.0,2.0,13023.9
2,2,1.0,4.0,13836.9
3,3,1.0,8.0,19132.8
4,4,1.0,16.0,33537.6
5,5,1.0,32.0,61478.9
6,6,1.0,64.0,121882.0
7,7,1.0,128.0,279174.0
8,8,2.0,1.0,13250.7
9,9,2.0,2.0,14254.7
10,10,2.0,4.0,15462.6
11,11,2.0,8.0,21593.3
12,12,2.0,16.0,36171.8
13,13,2.0,32.0,65165.6
14,14,2.0,64.0,147361.0
15,15,2.0,128.0,290700.0
16,16,4.0,1.0,14046.1
17,17,4.0,2.0,15288.0
18,18,4.0,4.0,16874.0
19,19,4.0,8.0,23597.5
20,20,4.0,16.0,38066.0
21,21,4.0,32.0,79284.0
22,22,4.0,64.0,152539.0
23,23,4.0,128.0,304281.0
24,24,8.0,1.0,14883.7
25,25,8.0,2.0,16199.1
26,26,8.0,4.0,18372.8
27,27,8.0,8.0,26069.7
28,28,8.0,16.0,47289.0
29,29,8.0,32.0,85651.0
30,30,8.0,64.0,166187.0
31,31,8.0,128.0,328606.0
32,32,16.0,1.0,16504.4
33,33,16.0,2.0,18358.0
34,34,16.0,4.0,22089.1
35,35,16.0,8.0,33778.0
36,36,16.0,16.0,56076.0
37,37,16.0,32.0,101008.0
38,38,16.0,64.0,196360.0
39,39,16.0,128.0,387094.0
40,40,32.0,1.0,21001.1
41,41,32.0,2.0,24180.7
42,42,32.0,4.0,37209.0
43,43,32.0,8.0,55366.0
44,44,32.0,16.0,94648.0
45,45,32.0,32.0,153202.0
46,46,32.0,64.0,310682.0
47,47,32.0,128.0,578567.0
48,48,64.0,1.0,36699.3
49,49,64.0,2.0,46020.0
50,50,64.0,4.0,59425.0
51,51,64.0,8.0,85334.0
52,52,64.0,16.0,159376.0
53,53,64.0,32.0,283968.0
54,54,64.0,64.0,548525.0
55,55,64.0,128.0,1111740.0
