loopIndex,threadIndex,beginTime,endTime
0,0,0,58150
0,1,51,58255
0,2,70,54990
0,3,93,58244
0,4,98,58641
0,5,100,57749
1,0,0,51312
1,1,17,54646
1,2,37,53274
1,3,58,56486
1,4,78,55744
1,5,135,55614
2,0,0,52955
2,1,19,53329
2,2,40,53484
2,3,69,52080
2,4,103,52641
2,5,123,53047
3,0,0,53836
3,1,20,56301
3,2,40,56030
3,3,55,57376
3,4,71,57705
3,5,103,52995
4,0,0,53045
4,1,35,53632
4,2,49,52332
4,3,81,53582
4,4,95,53693
4,5,98,54331
5,0,0,54236
5,1,39,53091
5,2,49,52026
5,3,59,54126
5,4,72,52903
5,5,92,54218
6,0,0,55118
6,1,22,54522
6,2,32,54890
6,3,57,54189
6,4,70,54920
6,5,86,54779
7,0,0,54475
7,1,21,55516
7,2,35,55766
7,3,73,54629
7,4,74,54475
7,5,85,55739
8,0,0,52886
8,1,22,57573
8,2,35,57953
8,3,62,54230
8,4,67,57004
8,5,92,56674
9,0,0,53955
9,1,19,53378
9,2,38,52545
9,3,61,53089
9,4,76,53222
9,5,92,53094
